Query Id,Query,Query Category,System Output,Remarks
Q001,Why do healthcare service calls with repeated login failures escalate to a supervisor request?,Causal Explanation,"Repeated failed attempts to resolve the mobile-app login issue over three weeks caused mounting customer frustration. Agent responses lacked technical depth and offered only generic troubleshooting, which increased customer anger (turns 5-9). The causal chain is: repetition -> customer_anger -> escalation. Evidence: Turn 6 (Customer): 'I've called three times about this already and nothing is fixed.' Turn 8 (Customer): 'I want to speak to a supervisor.'",Task 1 initial query; tests causal-chain extraction from Healthcare Services domain with Escalation - Repeated Service Failures intent.
Q002,Which specific agent responses in those healthcare escalation calls contributed most to the customer's decision to escalate?,Follow-up Reasoning,"The agent's Turn 5 response ('Let me reset your password again') was a repetition of a previously failed fix, scoring high on discourse_denial and low on agent_response_quality. Turn 7 ('I understand your frustration, but our system is experiencing issues') combined an apology with a denial, further eroding trust. These turns have the highest causal contribution to the escalation outcome based on the discourse graph edge weights.",Task 2 follow-up to Query 1; tests context retention and deeper evidence drill-down within the same causal analysis.
Q003,"If the agent had provided a working solution at Turn 5 instead of repeating the same troubleshooting step, would the escalation still have occurred?",Counterfactual Reasoning,"Counterfactual analysis with intervention do(repetition=0) at Turn 5 estimates the escalation probability would drop from 0.87 to 0.31. The causal model shows that eliminating repetition breaks the repetition -> customer_anger link, reducing anger below the escalation threshold. However, the pre-existing frustration from prior calls (Turns 1-4) means some residual escalation risk remains.",Task 2 follow-up to Queries 1-2; tests counterfactual reasoning with prior context dependency.
Q004,What conversational patterns in banking fraud-alert calls lead to successful resolution versus further escalation?,Causal Explanation,"Resolved fraud-alert calls show a pattern of: prompt card cancellation (Turn 2-3), clear communication of next steps (Turn 4), and proactive reversal of unauthorized charges. Escalated calls exhibit agent delays in initiating the cancellation process (discourse_delay score > 0.6), repeated transfers between departments, and lack of definitive resolution timelines. The ATE of delay on escalation is 0.34 (95% CI: [0.21, 0.47]).",Task 1 initial query; tests cross-conversation pattern analysis in Banking & Finance domain with Fraud Alert Investigation intent.
Q005,Show me the evidence turns from the fraud-alert calls where agent delay was highest.,Evidence Retrieval,"Top evidence turns for high delay: [Turn 4, Call 1846-5500] (Agent): 'I need to transfer you to our fraud department, please hold' (delay=0.82). [Turn 7, Call 1616-8531] (Agent): 'The reversal process takes 5-7 business days' (delay=0.75). [Turn 3, Call 1846-5500] (Agent): 'Let me check with my supervisor about the cancellation process' (delay=0.71). These turns correspond to the highest discourse_delay scores across the fraud-alert corpus.",Task 2 follow-up to Query 4; tests evidence retrieval with reference to specific Call IDs (ID Recall).
Q006,Are the delay patterns in fraud-alert calls also present in insurance fraud investigations?,Cross-Domain Comparison,"Yes, insurance fraud-alert calls show similar delay patterns but with higher severity. The average discourse_delay score is 0.68 in insurance versus 0.52 in banking. Insurance calls additionally show a confounding factor: claim verification requirements (discourse_clarification=0.74) that structurally introduce delays. The causal effect of delay on escalation is stronger in insurance (ATE=0.41) than banking (ATE=0.34), suggesting the combined delay-clarification pathway amplifies frustration.",Task 2 follow-up to Queries 4-5; tests cross-domain reasoning while maintaining context from prior banking analysis.
Q007,Why do some e-commerce delivery investigation calls result in customer complaints even when the agent offers a replacement?,Causal Explanation,"Even when replacements are offered, complaints arise when: (1) the agent delays acknowledging the missing delivery (discourse_delay in Turns 1-3 > 0.5), (2) the customer must repeat their order details multiple times (repetition > 0.6), or (3) the replacement timeline exceeds customer expectations. The causal chain is: delay -> customer_anger and repetition -> customer_anger -> complaint. Evidence: Turn 4 (Customer): 'I already gave you my order number twice.' Turn 8: 'Two to three business days is too long.'",Task 1 initial query; tests nuanced causal reasoning where surface-level resolution masks deeper frustration factors.
Q008,"In those delivery investigation calls, does the agent's tone shift after the customer expresses frustration?",Follow-up Reasoning,"Yes, discourse analysis shows a measurable shift. Pre-frustration agent turns average discourse_apology=0.15 and discourse_promise=0.20. Post-frustration (after customer anger > 0.5), agent turns shift to discourse_apology=0.62 and discourse_promise=0.71. However, this reactive apology pattern correlates with lower resolution satisfaction (r=-0.34), suggesting customers perceive late apologies as insincere. The causal model indicates proactive empathy in early turns reduces complaint probability by 28%.",Task 2 follow-up to Query 7; tests temporal discourse pattern analysis and context-dependent causal reasoning.
Q009,What causes telecom service-interruption calls to escalate more frequently than other call types?,Causal Explanation,"Telecom service-interruption calls have a 3.2x higher escalation rate than the corpus average. Root causes: (1) customers arrive pre-frustrated due to ongoing outages (emotion_anger at Turn 1 averages 0.45 vs 0.12 baseline), (2) agents frequently cannot provide resolution timelines (discourse_denial=0.58), and (3) repeat callers reference unresolved prior interactions (repetition=0.72). The dominant causal path is: delay + repetition -> customer_anger -> escalation, with customer_anger mediating 78% of the total effect.",Task 1 initial query; tests identification of pre-existing emotional state as causal factor in Telecommunications domain.
Q010,How does the causal chain differ when the outage is caused by a network-wide event versus an individual account issue?,Follow-up Reasoning,"For network-wide outages (Business Event - Network Outage intent), the delay variable dominates because agents cannot offer individual fixes, leading to: delay -> customer_anger -> escalation (ATE of delay=0.52). For individual account issues (Service Interruptions intent), the agent_response_quality variable is more influential: agent_response_quality -> resolution_time -> escalation (ATE of quality=0.39). Network outage calls also show higher discourse_denial scores (0.71 vs 0.43) as agents lack authority to resolve systemic issues.",Task 2 follow-up to Query 9; tests ability to differentiate causal mechanisms across sub-intents within the same domain.
